species_name,latitude,longitude,location_description,depth_range,,,,
Axoclinus storeyae,NA,NA,"Bahía Santa Maria, southern Baja California to Bahía Conejos, Mexico, including Gulf of California",1-21m,,,,
Crocodilichthys gracilis,NA,NA,"Gulf of California to Cabo San Lucas, southern Baja California",less than 1m-40m,,,,
Enneanectes carminalis,NA,NA,"Islas San Benito and Bahía Magdalena, southern Baja California, into central Gulf of California, to Oaxaca, Mexico",1-15m,,,,
Enneanectes reticulatus,NA,NA,"Isla Guadalupe, central Baja California and, on mainland, Bahía de Sebastian Vizcaino, central Baja California to Gulf of California",intertidal-55m,,,,
Dactylagnus mundus,NA,NA,"Bahía Ojo de Liebre (Scammons Lagoon), central Baja California to Panama, including Gulf of California, and perhaps Islas Galápagos",0.5-15m,,,,
Dactylagnus parvus,NA,NA,"Punta Marquez, southern Baja California to Panama",0-6m,,,,
Dactyloscopus elongatus,NA,NA,"Bahía Magdalena, southern Baja California, and Gulf of California southward to Oaxaca, Mexico",1-18m,,,,
Dactyloscopus heraldi,NA,NA,Southern Baja California to at least as far northward as Bahía San Juanico,1-8m,,,,
Dactyloscopus lunaticus,NA,NA,"Punta Tosca, southern Baja California to Ecuador, including Gulf of California",3-138m,,,,
Dactyloscopus pectoralis,NA,NA,"Bahía Santa Maria, southern Baja California into Gulf of California to Chiapas, Mexico",intertidal-46m,,,,
Gillellus arenicola,23°57'N,110°52'W,"Punta Marquis and Cabo San Lucas area, southern Baja California; Oaxaca and Colima, Mexico to western Panama",1-40m,,,,
Gillellus semicinctus,NA,NA,"Isla Guadalupe and vicinity of Punta Eugenia, central Baja California to Colombia, including Gulf of California, Islas Galápagos, and other offshore islands",0.6-137m,,,,
Heteristius cinctus,NA,NA,"Bahía Magdalena, southern Baja California to Cabo San Francisco, Ecuador, including mouth of Gulf of California",intertidal-27m,,,,
Myxodagnus opercularis,NA,NA,"Central Baja California, Gulf of California, and Islas Revillagigedo",intertidal-18m,,,,
Entomacrodus chiostictus,NA,NA,"Bahía San Ignacio, southern Baja California and Gulf of California to Colombia, including all offshore islands, and Islas Galápagos",surface-9m,,,,
Hypsoblennius brevipinnis,24°40'N,112°11'W,"Bahía Santa Maria, southern Baja California and Gulf of California to northern Peru, including Islas Galápagos, Cocos, and Malpelo; also at locks at Atlantic entrance to the Panama Canal",intertidal-18m,,,,
Hypsoblennius gentilis,NA,NA,"Monterey Bay, central California to Gulf of California",surface-24m,,,,
Hypsoblennius gilberti,NA,NA,"San Francisco Bay, northern California to Cabo Pulmo, Baja California",surface-18m,,,,
Hypsoblennius jenkinsi,NA,NA,"Santa Cruz, northern California to Punta Marquez, southern Baja California and Gulf of California",surface-40m,,,,
Ophioblennius steindachneri,NA,NA,"Catalina Island, southern California; Isla Guadalupe, central Baja California, Isla de Cedros, and Arricefe Sacramento, central Baja California into northern Gulf of California to Islas Lobos de Afuera, Peru, including Islas Galápagos",surface-20m,,,,
Plagiotremus azaleus,NA,NA,"King Harbor, southern California; Rocas Chester, Isla de Cedros, central Baja California, and Islas San Benito to Puerto Pizarro, Peru, including Gulf of California, Islas Galápagos, and many other offshore islands",surface-37m,,,,
Gibbonsia elegans,NA,NA,"San Francisco Bay, northern California to Bahía Magdalena, southern Baja California, including Isla Guadalupe",intertidal-56m,,,,
Gibbonsia metzi,NA,NA,"Vancouver Island, British Columbia to Punta Rompiente, southern Baja California",intertidal-18m,,,,
Gibbonsia montereyensis,NA,NA,"Vancouver Island, British Columbia to Isla Guadalupe, Bahía San Carlos, and Isla de Cedros, Islas San Benito, and Isla Natividad, central Baja California",intertidal-49m,,,,
Heterostichus rostratus,NA,NA,"British Columbia to Cabo San Lucas, southern Baja California, including Isla Guadalupe",intertidal-40m,,,,
Alloclinus holderi,NA,NA,"San Miguel Island, southern California to Isla Asuncion, southern Baja California, Rocas Alijos, and into the Gulf of California at least as far northward as Playa Caleritas",intertidal-91m,,,,
Brockius striatus,NA,NA,"Cabo San Lucas, southern Baja California to southern Mexico, and central Gulf of California",intertidal-9m,,,,
Cryptotrema corallinum,NA,NA,"Off Cook Point, San Miguel Island, southern California to Bahía San Quintin, northern Baja California",15-195m,,,,
Dialommus macrocephalus,NA,NA,"Cabo San Lucas, southern Baja California to Colombia",intertidal to 5m,,,,
Labrisomus multiporosus,NA,NA,"Grenada Cove-Punta Moro, northern Baja California into upper Gulf of California to Islas Chincha, Peru, including Islas Galápagos",intertidal to 21m,,,,
Labrisomus wigginsi,24°21'N,110°17'W,"Punta Eugenia, central Baja California to Arroyo Seco, southern Baja California, and into Gulf of California at least as far northward as Playa Caleritas",intertidal to 5m,,,,
Labrisomus xanti,34°02.66'N,119°36.02'W,"Near Potato Harbor, Santa Cruz Island and King Harbor, Redondo Beach, southern California into Gulf of California to northern Chile",intertidal to 21m,,,,
Malacoctenus ebisui,NA,NA,"Tip of Baja California, and Mazatlán, Mexico to Ecuador",intertidal to 21m,,,,
Malacoctenus gigas,NA,NA,"Isla Guadalupe, central Baja California and Gulf of California","surface, intertidal to 5m",,,,
Malacoctenus hubbsi,NA,NA,"Bahía de Sebastian Vizcaino, central Baja California into northern Gulf of California",intertidal to 20m,,,,
Malacoctenus mexicanus,24°18'N,111°43'W,"Punta Tosco, southern Baja California into Gulf of California to southern Mexico",1-29m,,,,
Malacoctenus tetranemus,NA,NA,"Bahía Santa Maria and Cabo San Lucas, southern Baja California to Chile, including Gulf of California and Islas Galápagos",intertidal to 25m,,,,
Malacoctenus zacae,NA,NA,Isla Guadalupe; tip of Baja California and extreme south-western part of Gulf of California to central Mexico,shallow water to 10m,,,,
Malacoctenus zonifer,24°45.2'N,112°15.9'W,"Punta Hughes, southern Baja California; tip of Baja California; Gulf of California to Ecuador",intertidal to 10m,,,,
Paraclinus altivelis,NA,NA,"Laguna Ojo de Liebre, central Baja California to Gulf of California to Panama",1-40m,,,,
Paraclinus asper,NA,NA,"Lagunas Ojo de Liebre-Guerrero Negro, central Baja California into upper Gulf of California",intertidal to 10m,,,,
Paraclinus beebei,NA,NA,"Arroyo Seco, southern Baja California to Bahía Honda, Panama, including Gulf of California south of La Paz",intertidal to 9m,,,,
Paraclinus integripinnis,NA,NA,"Santa Cruz Island, southern California and Naples, Santa Barbara County, southern California to Bahía Almejas, southern Baja California",intertidal to 15m,,,,
Paraclinus magdalenae,NA,NA,"Bahía Magdalena and vicinity, southern Baja California",8-21m,,,,
Paraclinus mexicanus,NA,NA,"Tip of Baja California; Gulf of California to Ecuador, and Isla del Cocos",intertidal to 10m,,,,
Paraclinus sini,NA,NA,"Laguna Ojo de Liebre, central Baja California into northern Gulf of California",intertidal to 15m,,,,
Paraclinus stephensi,NA,NA,"Bahía Magdalena, southern Baja California and central to southern Mexico",0-15m,,,,
Paraclinus tanygnathus,NA,NA,Tip of Baja California; Mazatlán to southern Mexico,0-15m,,,,
Paraclinus walkeri,NA,NA,"Bahía San Quintin, northern Baja California",1-10m,,,,
Starksia guadalupae,26°43'N,113°31'W,"Isla Guadalupe, central Baja California, Punta Abreojos, southern Baja California, and Rocas Alijos, southern Baja California",2-18m,,,,
Starksia spinipenis,NA,NA,"Cabo San Lucas, southern Baja California to southern Mexico, including Gulf of California",1-18m,,,,
Xenomedea rhodopyga,NA,NA,"Cabo San Lucas, southern Baja California into northern Gulf of California","surface, 1-33m",,,,
Acanthemblemaria balanorum,NA,NA,"Cabo San Lucas, southern Baja California into southern Gulf of California to Isla Gorgona, Colombia",0-21m,,,,
Acanthemblemaria crockeri,NA,NA,"Cabo San Lucas, southern Baja California into northern Gulf of California",1-60m,,,,
Acanthemblemaria hastingsi,23°56'N,11°52'W,"Probably Punta Marquis, southern Baja California and Gulf of California",0-13m,,,,
Chaenopsis alepidota,NA,NA,"Pelican Harbor, Santa Cruz Island, southern California to Gulf of California",intertidal to at least 27m,,,,
Cirriemblemaria lucasana,NA,NA,"Bahía Magdalena, southern Baja California into central Gulf of California to southern Mexico",3-30m,,,,
Coralliozetus angelicus,NA,NA,"Cabo San Lucas, southern Baja California to southern Mexico, including Gulf of California",intertidal to 5m,,,,
Coralliozetus micropes,NA,NA,"Bahía Magdalena, southern Baja California into upper Gulf of California",0.3-6m,,,,
Coralliozetus rosenblatti,24°46.1'N,112°16'W,"Bahía Santa Maria, southern Baja California into northern Gulf of California",1-9m,,,,
Ekemblemaria myersi,23°56.8'N,110°52.2'W,"Southern Baja California to Ecuador, including Gulf of California",intertidal to 12m,,,,
Emblemaria hypacanthus,NA,NA,"Cabo San Lucas, southern Baja California and throughout Gulf of California",intertidal to 24m,,,,
Neoclinus blanchardi,30°40.3'N,116°05'W,"Off Bodega Head, northern California to Isla de Cedros, central Baja California","surface, 3-83m",,,,
Neoclinus stephensae,NA,NA,"San Francisco, northern California to Punta San Hipólito, central Baja California",intertidal to 30m,,,,
Neoclinus uninotatus,NA,NA,"Bodega Bay, northern California to northern Baja California",intertidal to 55m,,,,
Protemblemaria bicirrus,NA,NA,"Bahía Santa Maria, southern Baja California and throughout Gulf of California to Bahía Independencia, Peru",intertidal to 20m,,,,
Stathmonotus sinuscalifornici,NA,NA,"Bahía Magdalena, southern Baja California into northern Gulf of California",0-6m,,,,
Icosteus aenigmaticus,NA,NA,"Sea of Okhotsk to Bering Sea and Gulf of Alaska, to Point Loma, southern California","intertidal to 1,420m",,,,
Arcos erythrops,NA,NA,"Cabo San Lucas, southern Baja California and Gulf of California to southern Mexico",intertidal to 15m,,,,
Gobiesox adustus,23°56.8'N,110°52.2'W,"Punta Marquis, southern Baja California; Gulf of California to Ecuador",intertidal to 18m,,,,
Gobiesox eugrammus,NA,NA,"Avalon Dive Park, Santa Catalina Island and Bird Rock, San Diego County, southern California to Islas San Benito and Isla Guadalupe, central Baja California","surface, 9-82m",,,,
Gobiesox maeandricus,NA,NA,"Noyes Island, south-eastern Alaska to central Baja California",intertidal to 18m,,,,
Gobiesox papillifer,NA,NA,"San Pedro, southern California to Panama Bay, including Gulf of California",intertidal to 5m,,,,
Gobiesox pinniger,NA,NA,"Cabo San Lucas, southern Baja California into northern Gulf of California",intertidal to 5m,,,,
Gobiesox rhessodon,35°39.1'N,121°14.4'W,"San Simeon Reef, central California to Bahía Magdalena, southern Baja California","surface, intertidal to 11m",,,,
Gobiesox schultzi,NA,NA,Southern Baja California and Gulf of California,0-5m,,,,
Rimicola cabrilloi,NA,NA,"Islands off southern California (Santa Rosa, Santa Cruz, Santa Catalina, and San Nicolas)",intertidal and shallow subtidal,,,,
Rimicola dimorpha,NA,NA,"Gaviota to Islas San Benito, central Baja California","kelp beds, occasionally intertidal",,,,
Rimicola eigenmanni,NA,NA,"San Miguel Island, southern California to Bahía Magdalena, southern Baja California",intertidal to 15m,,,,
Rimicola muscarum,NA,NA,"Glacier Bay, south-eastern Alaska to Punta Baja, northern Baja California",intertidal to 5m,,,,
Rimicola sila,NA,NA,"Isla Guadalupe, central Baja California",2m or less to perhaps 23m,,,,
Tomicodon boehlkei,23°20'N,NA,"Los Cerritos, southern Baja California to northern Gulf of California",intertidal to 12m,,,,
Tomicodon eos,24°18'N,111°42.8'W,"Punta Tosco, southern Baja California to Gulf of California to Oaxaca, Mexico","intertidal to at least 5m, perhaps to 14m",,,,
Tomicodon humeralis,NA,NA,"Cabo San Lucas, southern Baja California into northern Gulf of California",intertidal to 5m,,,,
Tomicodon myersi,NA,NA,"Cabo San Lucas, southern Baja California, and Gulf of California to Colombia",0-7m,,,,
Tomicodon petersii,24°187'N,111°42.8'W,"Punta Tosco, southern Baja California into Gulf of California to northern Peru, Isla del Cocos, and Islas Galápagos",intertidal to 5m,,,,
Tomicodon zebra,NA,NA,"Bahía Magdalena, southern Baja California to El Salvador, including Gulf of California",intertidal to 10m,,,,
Synchiropus atrilabiatus,28°52'N,114°30'W,"Santa Catalina Island and Point Loma, southern California to Talara, Peru, including Gulf of California and Islas Galápagos and Isla del Cocos",3-235m,,,,
Dormitator latifrons,NA,NA,"Palos Verdes, southern California to Peru, including Islas Galápagos",to 2m or more,,,,
Eleotris picta,NA,NA,"Isla de Cedros; southern tip of Baja California to Peru, including Gulf of California and Islas Galápagos and Isla del Cocos",0-5m,,,,
Erotelis armiger,NA,NA,Larvae found off southern Baja California; Gulf of California to Colombia,0-5m,,,,
Gobiomorus maculatus,NA,NA,"Bahía Magdalena area, southern Baja California; Gulf of California to northern Peru, including Islas Galápagos and Isla del Cocos",0-5m,,,,
Acanthogobius flavimanus,NA,NA,"Native to Russian coast of Sea of Japan, Japan, China, and Korea; Tomales Bay, Estero Americano, northern California, San Francisco Bay, and other central and southern California bays and estuaries to Ensenada, northern Baja California",intertidal to 14m,,,,
Barbulifer mexicanus,NA,NA,"Punta Marquis, southern Baja California; tip of Baja California, central Mexico, and Islas Tres Marias, and Chiapas, Mexico",0 to 20m,,,,
Barbulifer pantherinus,NA,NA,"Cabo San Lucas, southern Baja California into central Gulf of California",intertidal to 32m,,,,
Bathygobius ramosus,NA,NA,"Isla de Cedros, central Baja California, and San Juanico, southern Baja California into northern Gulf of California to Paita, Peru",intertidal to 15m,,,,
Bollmannia stigmatura,33°09'N,117°23'W,"Oceanside, southern California to Gulf of California, to northern Peru",20-150m,,,,
Chriolepis cuneata,NA,NA,"Cabo San Lucas and Gulf of California to Isla Gorgona, Colombia",0-32m,,,,
Chriolepis zebra,NA,NA,"Cabo San Lucas, southern Baja California to Gulf of California to central Mexico",2-30m,,,,
Clevelandia ios,NA,NA,"Rivers Inlet, British Columbia to Bahía Magdalena, southern Baja California",intertidal to 45m,,,,
Coryphopterus urospilus,NA,NA,"Isla Asuncion, southern Baja California to northern Gulf of California to central Peru, including Islas Galápagos and other offshore islands",intertidal to 40m,,,,
Ctenogobius sagittula,NA,NA,"Marina del Rey, southern California to Puerto Pizarro, Peru",intertidal to 5m,,,,
Elacatinus puncticulatus,NA,NA,Cabo San Lucas and at least throughout Gulf of California,1-21m,,,,
Eucyclogobius kristinae,NA,NA,"Aliso Creek, Orange County, southern California to Agua Hedionda Lagoon, San Diego County, southern California",coastal lagoons,,,,
Eucyclogobius newberryi,NA,NA,"Tillas Slough, mouth of Smith River, northern California to Santa Monica Artesian Springs, southern California",to 15m,,,,
Gillichthys mirabilis,NA,NA,"Tomales Bay, northern California to Gulf of California",to at least 5m,,,,
Gobionellus microdon,NA,NA,"Tip of Baja California, and Gulf of California to Ecuador",0-5m,,,,
Gobiosoma nudum,NA,NA,"Introduced to Atlantic; Punta Marquis, southern Baja California to Cabo Pulmo, Gulf of California and from Mazatlán to Colombia",intertidal to 10m,,,,
Gobiosoma sp. B,NA,NA,Central Baja California and Gulf of California,1-10m,,,,
Gobulus crescentalis,NA,NA,"Laguna Ojo de Liebre (Scammon's Lagoon), central Baja California into northern Gulf of California to Isla Gorgona, Colombia",intertidal to 21m,,,,
Gobulus hancocki,NA,NA,"Tip of Baja California, and Gulf of California to Colombia",intertidal to 20m,,,,
